donor_name,structure,folderName,fastqName,bamName,sample,specimen_name
H14.09.057,HIP,H14.09.057.HIP.01_HIP,RS5-501200,ar_496100480,H501-1200,H14.09.057.HIP.01
H14.09.057,FWM,H14.09.057.PCx.01_FWM,RS5-501201,ar_496100454,H501-1201,H14.09.057.PCx.01
H14.09.057,PCx,H14.09.057.PCx.01_PCx,RS5-501202,ar_496100468,H501-1202,H14.09.057.PCx.01
H14.09.057,TCx,H14.09.057.TCx.01_TCx,RS5-501203,ar_496100476,H501-1203,H14.09.057.TCx.01
H14.09.058,HIP,H14.09.058.HIP.01_HIP,RS5-501204,ar_496100491,H501-1204,H14.09.058.HIP.01
H14.09.058,FWM,H14.09.058.PCx.01_FWM,RS5-501205,ar_496100458,H501-1205,H14.09.058.PCx.01
H14.09.058,PCx,H14.09.058.PCx.01_PCx,RS5-501206,ar_496100481,H501-1206,H14.09.058.PCx.01
H14.09.058,TCx,H14.09.058.TCx.03_TCx,RS5-501207,ar_496100493,H501-1207,H14.09.058.TCx.03
H14.09.059,HIP,H14.09.059.HIP.01_HIP,RS5-501208,ar_496100478,H501-1208,H14.09.059.HIP.01
H14.09.059,FWM,H14.09.059.PCx.01_FWM,RS5-501209,ar_496100455,H501-1209,H14.09.059.PCx.01
H14.09.059,PCx,H14.09.059.PCx.01_PCx,RS5-501210,ar_496100462,H501-1210,H14.09.059.PCx.01
H14.09.059,TCx,H14.09.059.TCx.01_TCx,RS5-501211,ar_496100457,H501-1211,H14.09.059.TCx.01
H14.09.060,HIP,H14.09.060.HIP.01_HIP,RS5-501212,ar_496100490,H501-1212,H14.09.060.HIP.01
H14.09.060,FWM,H14.09.060.PCx.01_FWM,RS5-501213,ar_496100484,H501-1213,H14.09.060.PCx.01
H14.09.060,PCx,H14.09.060.PCx.01_PCx,RS5-501214,ar_496100486,H501-1214,H14.09.060.PCx.01
H14.09.060,TCx,H14.09.060.TCx.01_TCx,RS5-501215,ar_496100475,H501-1215,H14.09.060.TCx.01
H14.09.061,HIP,H14.09.061.HIP.01_HIP,RS5-501216,ar_496100470,H501-1216,H14.09.061.HIP.01
H14.09.061,FWM,H14.09.061.PCx.01_FWM,RS5-501217,ar_496100474,H501-1217,H14.09.061.PCx.01
H14.09.061,PCx,H14.09.061.PCx.01_PCx,RS5-501218,ar_496100461,H501-1218,H14.09.061.PCx.01
H14.09.061,TCx,H14.09.061.TCx.01_TCx,RS5-501219,ar_496100473,H501-1219,H14.09.061.TCx.01
H14.09.062,HIP,H14.09.062.HIP.03_HIP,RS5-501220,ar_496100471,H501-1220,H14.09.062.HIP.03
H14.09.062,FWM,H14.09.062.PCx.01_FWM,RS5-501221,ar_496100464,H501-1221,H14.09.062.PCx.01
H14.09.062,PCx,H14.09.062.PCx.01_PCx,RS5-501222,ar_496100459,H501-1222,H14.09.062.PCx.01
H14.09.062,TCx,H14.09.062.TCx.01_TCx,RS5-501223,ar_496100488,H501-1223,H14.09.062.TCx.01
H14.09.063,HIP,H14.09.063.HIP.01_HIP,RS5-501224,ar_496100515,H501-1224,H14.09.063.HIP.01
H14.09.063,FWM,H14.09.063.PCx.01_FWM,RS5-501226,ar_496100530,H501-1226,H14.09.063.PCx.01
H14.09.063,PCx,H14.09.063.PCx.01_PCx,RS5-501225,ar_496100522,H501-1225,H14.09.063.PCx.01
H14.09.063,TCx,H14.09.063.TCx.01_TCx,RS5-501227,ar_496100502,H501-1227,H14.09.063.TCx.01
H14.09.064,HIP,H14.09.064.HIP.01_HIP,RS5-501228,ar_496100510,H501-1228,H14.09.064.HIP.01
H14.09.064,FWM,H14.09.064.PCx.01_FWM,RS5-501230,ar_496100531,H501-1230,H14.09.064.PCx.01
H14.09.064,PCx,H14.09.064.PCx.01_PCx,RS5-501229,ar_496100506,H501-1229,H14.09.064.PCx.01
H14.09.064,TCx,H14.09.064.TCx.01_TCx,RS5-501231,ar_496100533,H501-1231,H14.09.064.TCx.01
H14.09.065,HIP,H14.09.065.HIP.01_HIP,RS5-501232,ar_496100518,H501-1232,H14.09.065.HIP.01
H14.09.066,HIP,H14.09.066.HIP.01_HIP,RS5-501233,ar_496100523,H501-1233,H14.09.066.HIP.01
H14.09.066,FWM,H14.09.066.PCx.01_FWM,RS5-501235,ar_496100527,H501-1235,H14.09.066.PCx.01
H14.09.066,PCx,H14.09.066.PCx.01_PCx,RS5-501234,ar_496100508,H501-1234,H14.09.066.PCx.01
H14.09.066,TCx,H14.09.066.TCx.01_TCx,RS5-501236,ar_496100505,H501-1236,H14.09.066.TCx.01
H14.09.067,HIP,H14.09.067.HIP.01_HIP,RS5-501237,ar_496100509,H501-1237,H14.09.067.HIP.01
H14.09.067,FWM,H14.09.067.PCx.01_FWM,RS5-501239,ar_496100507,H501-1239,H14.09.067.PCx.01
H14.09.067,PCx,H14.09.067.PCx.01_PCx,RS5-501238,ar_496100498,H501-1238,H14.09.067.PCx.01
H14.09.067,TCx,H14.09.067.TCx.01_TCx,RS5-501240,ar_496100526,H501-1240,H14.09.067.TCx.01
H14.09.068,HIP,H14.09.068.HIP.01_HIP,RS5-501241,ar_496100503,H501-1241,H14.09.068.HIP.01
H14.09.068,FWM,H14.09.068.PCx.01_FWM,RS5-501243,ar_496100534,H501-1243,H14.09.068.PCx.01
